Dataset,Model,Direction,Accuracy Difference,Model Size
b4b,c4ai-aya-23-35B,Diff_generic_to_brand,-0.06628858892638412,35
b4b,c4ai-r-plus,Diff_generic_to_brand,-0.0920900512435946,140
b4b,llama-2-70B,Diff_generic_to_brand,-0.0703037120359955,70
b4b,llama-2-7B,Diff_generic_to_brand,-0.006866329208848887,7
b4b,llama-3-70B,Diff_generic_to_brand,-0.07922447194100735,70
b4b,llama-3-8B,Diff_generic_to_brand,-0.09205880514935638,8
b4b,mistral-7B,Diff_generic_to_brand,-0.08213035870516183,7
b4b,mixtral-8x22B,Diff_generic_to_brand,-0.09698006499187606,176
b4b,mixtral-8x7B,Diff_generic_to_brand,-0.0920041244844394,56
b4b,phi-1,Diff_generic_to_brand,0.011842269716285492,1.3
b4b,phi-1_5,Diff_generic_to_brand,0.002913698287714095,1.3
b4b,phi-2,Diff_generic_to_brand,-0.059336332958380145,2.7
b4b,phi-3-medium,Diff_generic_to_brand,-0.11382952130983626,14
b4b,qwen1.5-72B,Diff_generic_to_brand,-0.09006686664166974,72
b4b,qwen1.5-7B,Diff_generic_to_brand,-0.06035964254468201,7
medmcqa,c4ai-aya-23-35B,Diff_generic_to_brand,-0.08730158730158727,35
medmcqa,c4ai-r-plus,Diff_generic_to_brand,-0.14087301587301598,140
medmcqa,llama-2-70B,Diff_generic_to_brand,-0.10714285714285715,70
medmcqa,llama-2-7B,Diff_generic_to_brand,0.005952380952380931,7
medmcqa,llama-3-70B,Diff_generic_to_brand,-0.12301587301587302,70
medmcqa,llama-3-8B,Diff_generic_to_brand,-0.13293650793650796,8
medmcqa,mistral-7B,Diff_generic_to_brand,-0.1111111111111111,7
medmcqa,mixtral-8x22B,Diff_generic_to_brand,-0.13293650793650802,176
medmcqa,mixtral-8x7B,Diff_generic_to_brand,-0.11904761904761896,56
medmcqa,phi-1,Diff_generic_to_brand,0.007936507936507964,1.3
medmcqa,phi-1_5,Diff_generic_to_brand,-0.009920634920634885,1.3
medmcqa,phi-2,Diff_generic_to_brand,-0.0714285714285714,2.7
medmcqa,phi-3-medium,Diff_generic_to_brand,-0.16269841269841268,14
medmcqa,qwen1.5-72B,Diff_generic_to_brand,-0.12698412698412698,72
medmcqa,qwen1.5-7B,Diff_generic_to_brand,-0.08134920634920645,7
medqa_4options,c4ai-aya-23-35B,Diff_generic_to_brand,-0.04527559055118108,35
medqa_4options,c4ai-r-plus,Diff_generic_to_brand,-0.04330708661417326,140
medqa_4options,llama-2-70B,Diff_generic_to_brand,-0.03346456692913391,70
medqa_4options,llama-2-7B,Diff_generic_to_brand,-0.019685039370078705,7
medqa_4options,llama-3-70B,Diff_generic_to_brand,-0.03543307086614167,70
medqa_4options,llama-3-8B,Diff_generic_to_brand,-0.051181102362204745,8
medqa_4options,mistral-7B,Diff_generic_to_brand,-0.05314960629921256,7
medqa_4options,mixtral-8x22B,Diff_generic_to_brand,-0.0610236220472441,176
medqa_4options,mixtral-8x7B,Diff_generic_to_brand,-0.06496062992125984,56
medqa_4options,phi-1,Diff_generic_to_brand,0.015748031496062992,1.3
medqa_4options,phi-1_5,Diff_generic_to_brand,0.01574803149606302,1.3
medqa_4options,phi-2,Diff_generic_to_brand,-0.04724409448818895,2.7
medqa_4options,phi-3-medium,Diff_generic_to_brand,-0.06496062992125984,14
medqa_4options,qwen1.5-72B,Diff_generic_to_brand,-0.053149606299212615,72
medqa_4options,qwen1.5-7B,Diff_generic_to_brand,-0.03937007874015752,7
