Dataset,Metric,Value,Model
b4b,acc,0.23298638911128902,microsoft-phi-1
b4b,acc_stderr,0.03149393693061501,microsoft-phi-1
b4b,acc_norm,0.23301574150787074,microsoft-phi-1
b4b,acc_norm_stderr,0.0008942797216984393,microsoft-phi-1
b4bqa,acc,0.19642857142857142,microsoft-phi-1
b4bqa,acc_stderr,0.009387863785916705,microsoft-phi-1
b4bqa,acc_norm,0.19642857142857142,microsoft-phi-1
b4bqa,acc_norm_stderr,0.009387863785916705,microsoft-phi-1
medmcqa_b2g,acc,0.2698412698412698,microsoft-phi-1
medmcqa_b2g,acc_stderr,0.01979150564482921,microsoft-phi-1
medmcqa_b2g,acc_norm,0.2698412698412698,microsoft-phi-1
medmcqa_b2g,acc_norm_stderr,0.01979150564482921,microsoft-phi-1
medmcqa_g2b,acc,0.27380952380952384,microsoft-phi-1
medmcqa_g2b,acc_stderr,0.019882251217620307,microsoft-phi-1
medmcqa_g2b,acc_norm,0.27380952380952384,microsoft-phi-1
medmcqa_g2b,acc_norm_stderr,0.019882251217620307,microsoft-phi-1
medmcqa_orig_filtered,acc,0.26587301587301587,microsoft-phi-1
medmcqa_orig_filtered,acc_stderr,0.01969875288983336,microsoft-phi-1
medmcqa_orig_filtered,acc_norm,0.26587301587301587,microsoft-phi-1
medmcqa_orig_filtered,acc_norm_stderr,0.01969875288983336,microsoft-phi-1
medqa_4options_b2g,acc,0.234251968503937,microsoft-phi-1
medqa_4options_b2g,acc_stderr,0.01880964458201463,microsoft-phi-1
medqa_4options_b2g,acc_norm,0.234251968503937,microsoft-phi-1
medqa_4options_b2g,acc_norm_stderr,0.01880964458201463,microsoft-phi-1
medqa_4options_g2b,acc,0.25,microsoft-phi-1
medqa_4options_g2b,acc_stderr,0.019230769230769232,microsoft-phi-1
medqa_4options_g2b,acc_norm,0.25,microsoft-phi-1
medqa_4options_g2b,acc_norm_stderr,0.019230769230769232,microsoft-phi-1
medqa_4options_orig_filtered,acc,0.234251968503937,microsoft-phi-1
medqa_4options_orig_filtered,acc_stderr,0.01880964458201463,microsoft-phi-1
medqa_4options_orig_filtered,acc_norm,0.234251968503937,microsoft-phi-1
medqa_4options_orig_filtered,acc_norm_stderr,0.01880964458201463,microsoft-phi-1
mmlu_professional_medicine_b2g,acc,0.21428571428571427,microsoft-phi-1
mmlu_professional_medicine_b2g,acc_stderr,0.055328333517248834,microsoft-phi-1
mmlu_professional_medicine_g2b,acc,0.26785714285714285,microsoft-phi-1
mmlu_professional_medicine_g2b,acc_stderr,0.05971290310957636,microsoft-phi-1
mmlu_professional_medicine_orig_filtered,acc,0.21428571428571427,microsoft-phi-1
mmlu_professional_medicine_orig_filtered,acc_stderr,0.055328333517248834,microsoft-phi-1
b4b,acc,0.23298638911128902,microsoft-phi-1
b4b,acc_stderr,0.03149393693061501,microsoft-phi-1
b4b,acc_norm,0.23301574150787074,microsoft-phi-1
b4b,acc_norm_stderr,0.0008942797216984393,microsoft-phi-1
b4bqa,acc,0.19642857142857142,microsoft-phi-1
b4bqa,acc_stderr,0.009387863785916705,microsoft-phi-1
b4bqa,acc_norm,0.19642857142857142,microsoft-phi-1
b4bqa,acc_norm_stderr,0.009387863785916705,microsoft-phi-1
medmcqa_b2g,acc,0.2698412698412698,microsoft-phi-1
medmcqa_b2g,acc_stderr,0.01979150564482921,microsoft-phi-1
medmcqa_b2g,acc_norm,0.2698412698412698,microsoft-phi-1
medmcqa_b2g,acc_norm_stderr,0.01979150564482921,microsoft-phi-1
medmcqa_g2b,acc,0.27380952380952384,microsoft-phi-1
medmcqa_g2b,acc_stderr,0.019882251217620307,microsoft-phi-1
medmcqa_g2b,acc_norm,0.27380952380952384,microsoft-phi-1
medmcqa_g2b,acc_norm_stderr,0.019882251217620307,microsoft-phi-1
medmcqa_orig_filtered,acc,0.26587301587301587,microsoft-phi-1
medmcqa_orig_filtered,acc_stderr,0.01969875288983336,microsoft-phi-1
medmcqa_orig_filtered,acc_norm,0.26587301587301587,microsoft-phi-1
medmcqa_orig_filtered,acc_norm_stderr,0.01969875288983336,microsoft-phi-1
medqa_4options_b2g,acc,0.234251968503937,microsoft-phi-1
medqa_4options_b2g,acc_stderr,0.01880964458201463,microsoft-phi-1
medqa_4options_b2g,acc_norm,0.234251968503937,microsoft-phi-1
medqa_4options_b2g,acc_norm_stderr,0.01880964458201463,microsoft-phi-1
medqa_4options_g2b,acc,0.25,microsoft-phi-1
medqa_4options_g2b,acc_stderr,0.019230769230769232,microsoft-phi-1
medqa_4options_g2b,acc_norm,0.25,microsoft-phi-1
medqa_4options_g2b,acc_norm_stderr,0.019230769230769232,microsoft-phi-1
medqa_4options_orig_filtered,acc,0.234251968503937,microsoft-phi-1
medqa_4options_orig_filtered,acc_stderr,0.01880964458201463,microsoft-phi-1
medqa_4options_orig_filtered,acc_norm,0.234251968503937,microsoft-phi-1
medqa_4options_orig_filtered,acc_norm_stderr,0.01880964458201463,microsoft-phi-1
mmlu_professional_medicine_b2g,acc,0.21428571428571427,microsoft-phi-1
mmlu_professional_medicine_b2g,acc_stderr,0.055328333517248834,microsoft-phi-1
mmlu_professional_medicine_g2b,acc,0.26785714285714285,microsoft-phi-1
mmlu_professional_medicine_g2b,acc_stderr,0.05971290310957636,microsoft-phi-1
mmlu_professional_medicine_orig_filtered,acc,0.21428571428571427,microsoft-phi-1
mmlu_professional_medicine_orig_filtered,acc_stderr,0.055328333517248834,microsoft-phi-1
b4b,acc,0.23298638911128902,microsoft-phi-1
b4b,acc_stderr,0.03149393693061501,microsoft-phi-1
b4b,acc_norm,0.23301574150787074,microsoft-phi-1
b4b,acc_norm_stderr,0.0008942797216984393,microsoft-phi-1
b4bqa,acc,0.19642857142857142,microsoft-phi-1
b4bqa,acc_stderr,0.009387863785916705,microsoft-phi-1
b4bqa,acc_norm,0.19642857142857142,microsoft-phi-1
b4bqa,acc_norm_stderr,0.009387863785916705,microsoft-phi-1
medmcqa_b2g,acc,0.2698412698412698,microsoft-phi-1
medmcqa_b2g,acc_stderr,0.01979150564482921,microsoft-phi-1
medmcqa_b2g,acc_norm,0.2698412698412698,microsoft-phi-1
