Dataset,Model,brand_to_generic,generic_to_brand,none
medmcqa,microsoft-Phi-3-mini-4k-instruct,0.6309523809523809,0.501984126984127,0.6388888888888888
medmcqa,microsoft-phi-1,0.2718253968253968,0.27380952380952384,0.26785714285714285
medmcqa,microsoft-phi-1_5,0.3134920634920635,0.30753968253968256,0.3134920634920635
medmcqa,microsoft-phi-2,0.42658730158730157,0.3551587301587302,0.42658730158730157
medmcqa,mistralai-Mistral-7B-v0.1,0.5277777777777778,0.4384920634920635,0.5277777777777778
medqa_4options,microsoft-Phi-3-mini-4k-instruct,0.562992125984252,0.4940944881889764,0.562992125984252
medqa_4options,microsoft-phi-1,0.234251968503937,0.25,0.234251968503937
medqa_4options,microsoft-phi-1_5,0.3248031496062992,0.33858267716535434,0.3228346456692913
medqa_4options,microsoft-phi-2,0.41732283464566927,0.36811023622047245,0.4153543307086614
medqa_4options,mistralai-Mistral-7B-v0.1,0.49606299212598426,0.44685039370078733,0.49606299212598426
b4b,microsoft-Phi-3-mini-4k-instruct,0.5969722534683164,0.4980393075865517,0.6009405074365703
b4b,microsoft-phi-1,0.2530386826646669,0.2619047619047619,0.2510545556805399
b4b,microsoft-phi-1_5,0.31914760654918134,0.3230611798525185,0.3181633545806774
b4b,microsoft-phi-2,0.4219550681164854,0.36163448318960134,0.4209708161479815
b4b,mistralai-Mistral-7B-v0.1,0.511920384951881,0.4426712285964254,0.511920384951881
