Dataset,Metric,Value,Model
b4b,acc,0.21832171194998798,microsoft-phi-1
b4b,acc_stderr,0.026393334801016795,microsoft-phi-1
b4b,acc_norm,0.21832171194998798,microsoft-phi-1
b4b,acc_norm_stderr,0.026393334801016795,microsoft-phi-1
b4bqa,acc,0.19642857142857142,microsoft-phi-1
b4bqa,acc_stderr,0.009387863785916705,microsoft-phi-1
b4bqa,acc_norm,0.19642857142857142,microsoft-phi-1
b4bqa,acc_norm_stderr,0.009387863785916705,microsoft-phi-1
medmcqa_b2g,acc,0.2614942528735632,microsoft-phi-1
medmcqa_b2g,acc_stderr,0.02359083301348032,microsoft-phi-1
medmcqa_b2g,acc_norm,0.2614942528735632,microsoft-phi-1
medmcqa_b2g,acc_norm_stderr,0.02359083301348032,microsoft-phi-1
medmcqa_g2b,acc,0.2413793103448276,microsoft-phi-1
medmcqa_g2b,acc_stderr,0.02297193745254371,microsoft-phi-1
medmcqa_g2b,acc_norm,0.2413793103448276,microsoft-phi-1
medmcqa_g2b,acc_norm_stderr,0.02297193745254371,microsoft-phi-1
medmcqa_orig_filtered,acc,0.25862068965517243,microsoft-phi-1
medmcqa_orig_filtered,acc_stderr,0.023506454355379604,microsoft-phi-1
medmcqa_orig_filtered,acc_norm,0.25862068965517243,microsoft-phi-1
medmcqa_orig_filtered,acc_norm_stderr,0.023506454355379604,microsoft-phi-1
medqa_4options_b2g,acc,0.21768707482993196,microsoft-phi-1
medqa_4options_b2g,acc_stderr,0.019673436883842772,microsoft-phi-1
medqa_4options_b2g,acc_norm,0.21768707482993196,microsoft-phi-1
medqa_4options_b2g,acc_norm_stderr,0.019673436883842772,microsoft-phi-1
medqa_4options_g2b,acc,0.22448979591836735,microsoft-phi-1
medqa_4options_g2b,acc_stderr,0.019891417030222396,microsoft-phi-1
medqa_4options_g2b,acc_norm,0.22448979591836735,microsoft-phi-1
medqa_4options_g2b,acc_norm_stderr,0.019891417030222396,microsoft-phi-1
medqa_4options_orig_filtered,acc,0.21768707482993196,microsoft-phi-1
medqa_4options_orig_filtered,acc_stderr,0.019673436883842762,microsoft-phi-1
medqa_4options_orig_filtered,acc_norm,0.21768707482993196,microsoft-phi-1
medqa_4options_orig_filtered,acc_norm_stderr,0.019673436883842762,microsoft-phi-1
b4b,acc,0.21832171194998798,microsoft-phi-1
b4b,acc_stderr,0.026393334801016795,microsoft-phi-1
b4b,acc_norm,0.21832171194998798,microsoft-phi-1
b4b,acc_norm_stderr,0.026393334801016795,microsoft-phi-1
b4bqa,acc,0.19642857142857142,microsoft-phi-1
b4bqa,acc_stderr,0.009387863785916705,microsoft-phi-1
b4bqa,acc_norm,0.19642857142857142,microsoft-phi-1
b4bqa,acc_norm_stderr,0.009387863785916705,microsoft-phi-1
medmcqa_b2g,acc,0.2614942528735632,microsoft-phi-1
medmcqa_b2g,acc_stderr,0.02359083301348032,microsoft-phi-1
medmcqa_b2g,acc_norm,0.2614942528735632,microsoft-phi-1
medmcqa_b2g,acc_norm_stderr,0.02359083301348032,microsoft-phi-1
medmcqa_g2b,acc,0.2413793103448276,microsoft-phi-1
medmcqa_g2b,acc_stderr,0.02297193745254371,microsoft-phi-1
medmcqa_g2b,acc_norm,0.2413793103448276,microsoft-phi-1
medmcqa_g2b,acc_norm_stderr,0.02297193745254371,microsoft-phi-1
medmcqa_orig_filtered,acc,0.25862068965517243,microsoft-phi-1
medmcqa_orig_filtered,acc_stderr,0.023506454355379604,microsoft-phi-1
medmcqa_orig_filtered,acc_norm,0.25862068965517243,microsoft-phi-1
medmcqa_orig_filtered,acc_norm_stderr,0.023506454355379604,microsoft-phi-1
medqa_4options_b2g,acc,0.21768707482993196,microsoft-phi-1
medqa_4options_b2g,acc_stderr,0.019673436883842772,microsoft-phi-1
medqa_4options_b2g,acc_norm,0.21768707482993196,microsoft-phi-1
medqa_4options_b2g,acc_norm_stderr,0.019673436883842772,microsoft-phi-1
medqa_4options_g2b,acc,0.22448979591836735,microsoft-phi-1
medqa_4options_g2b,acc_stderr,0.019891417030222396,microsoft-phi-1
medqa_4options_g2b,acc_norm,0.22448979591836735,microsoft-phi-1
medqa_4options_g2b,acc_norm_stderr,0.019891417030222396,microsoft-phi-1
medqa_4options_orig_filtered,acc,0.21768707482993196,microsoft-phi-1
medqa_4options_orig_filtered,acc_stderr,0.019673436883842762,microsoft-phi-1
medqa_4options_orig_filtered,acc_norm,0.21768707482993196,microsoft-phi-1
medqa_4options_orig_filtered,acc_norm_stderr,0.019673436883842762,microsoft-phi-1
b4b,acc,0.21832171194998798,microsoft-phi-1
b4b,acc_stderr,0.026393334801016795,microsoft-phi-1
b4b,acc_norm,0.21832171194998798,microsoft-phi-1
b4b,acc_norm_stderr,0.026393334801016795,microsoft-phi-1
b4bqa,acc,0.19642857142857142,microsoft-phi-1
b4bqa,acc_stderr,0.009387863785916705,microsoft-phi-1
b4bqa,acc_norm,0.19642857142857142,microsoft-phi-1
b4bqa,acc_norm_stderr,0.009387863785916705,microsoft-phi-1
medmcqa_b2g,acc,0.2614942528735632,microsoft-phi-1
medmcqa_b2g,acc_stderr,0.02359083301348032,microsoft-phi-1
medmcqa_b2g,acc_norm,0.2614942528735632,microsoft-phi-1
medmcqa_b2g,acc_norm_stderr,0.02359083301348032,microsoft-phi-1
medmcqa_g2b,acc,0.2413793103448276,microsoft-phi-1
medmcqa_g2b,acc_stderr,0.02297193745254371,microsoft-phi-1
medmcqa_g2b,acc_norm,0.2413793103448276,microsoft-phi-1
medmcqa_g2b,acc_norm_stderr,0.02297193745254371,microsoft-phi-1
medmcqa_orig_filtered,acc,0.25862068965517243,microsoft-phi-1
medmcqa_orig_filtered,acc_stderr,0.023506454355379604,microsoft-phi-1
medmcqa_orig_filtered,acc_norm,0.25862068965517243,microsoft-phi-1
medmcqa_orig_filtered,acc_norm_stderr,0.023506454355379604,microsoft-phi-1
medqa_4options_b2g,acc,0.21768707482993196,microsoft-phi-1
medqa_4options_b2g,acc_stderr,0.019673436883842772,microsoft-phi-1
medqa_4options_b2g,acc_norm,0.21768707482993196,microsoft-phi-1
medqa_4options_b2g,acc_norm_stderr,0.019673436883842772,microsoft-phi-1
medqa_4options_g2b,acc,0.22448979591836735,microsoft-phi-1
medqa_4options_g2b,acc_stderr,0.019891417030222396,microsoft-phi-1
medqa_4options_g2b,acc_norm,0.22448979591836735,microsoft-phi-1
medqa_4options_g2b,acc_norm_stderr,0.019891417030222396,microsoft-phi-1
medqa_4options_orig_filtered,acc,0.21768707482993196,microsoft-phi-1
medqa_4options_orig_filtered,acc_stderr,0.019673436883842762,microsoft-phi-1
medqa_4options_orig_filtered,acc_norm,0.21768707482993196,microsoft-phi-1
medqa_4options_orig_filtered,acc_norm_stderr,0.019673436883842762,microsoft-phi-1
b4b,acc,0.30512142341909115,microsoft-phi-1_5
b4b,acc_stderr,0.028513218063137048,microsoft-phi-1_5
b4b,acc_norm,0.30512142341909115,microsoft-phi-1_5
b4b,acc_norm_stderr,0.028513218063137048,microsoft-phi-1_5
b4bqa,acc,0.28013392857142855,microsoft-phi-1_5
b4bqa,acc_stderr,0.010611112414051155,microsoft-phi-1_5
b4bqa,acc_norm,0.28013392857142855,microsoft-phi-1_5
b4bqa,acc_norm_stderr,0.010611112414051155,microsoft-phi-1_5
medmcqa_b2g,acc,0.3045977011494253,microsoft-phi-1_5
medmcqa_b2g,acc_stderr,0.024706807658616194,microsoft-phi-1_5
medmcqa_b2g,acc_norm,0.3045977011494253,microsoft-phi-1_5
medmcqa_b2g,acc_norm_stderr,0.024706807658616194,microsoft-phi-1_5
medmcqa_g2b,acc,0.3160919540229885,microsoft-phi-1_5
medmcqa_g2b,acc_stderr,0.024959784982131285,microsoft-phi-1_5
medmcqa_g2b,acc_norm,0.3160919540229885,microsoft-phi-1_5
medmcqa_g2b,acc_norm_stderr,0.024959784982131285,microsoft-phi-1_5
medmcqa_orig_filtered,acc,0.3045977011494253,microsoft-phi-1_5
medmcqa_orig_filtered,acc_stderr,0.024706807658616183,microsoft-phi-1_5
medmcqa_orig_filtered,acc_norm,0.3045977011494253,microsoft-phi-1_5
medmcqa_orig_filtered,acc_norm_stderr,0.024706807658616183,microsoft-phi-1_5
medqa_4options_b2g,acc,0.3356009070294785,microsoft-phi-1_5
medqa_4options_b2g,acc_stderr,0.022511256690742998,microsoft-phi-1_5
medqa_4options_b2g,acc_norm,0.3356009070294785,microsoft-phi-1_5
medqa_4options_b2g,acc_norm_stderr,0.022511256690742998,microsoft-phi-1_5
medqa_4options_g2b,acc,0.3378684807256236,microsoft-phi-1_5
medqa_4options_g2b,acc_stderr,0.02254860258005234,microsoft-phi-1_5
medqa_4options_g2b,acc_norm,0.3378684807256236,microsoft-phi-1_5
medqa_4options_g2b,acc_norm_stderr,0.02254860258005234,microsoft-phi-1_5
medqa_4options_orig_filtered,acc,0.3356009070294785,microsoft-phi-1_5
medqa_4options_orig_filtered,acc_stderr,0.022511256690742977,microsoft-phi-1_5
medqa_4options_orig_filtered,acc_norm,0.3356009070294785,microsoft-phi-1_5
medqa_4options_orig_filtered,acc_norm_stderr,0.022511256690742977,microsoft-phi-1_5
b4b,acc,0.30512142341909115,microsoft-phi-1_5
b4b,acc_stderr,0.028513218063137048,microsoft-phi-1_5
b4b,acc_norm,0.30512142341909115,microsoft-phi-1_5
b4b,acc_norm_stderr,0.028513218063137048,microsoft-phi-1_5
b4bqa,acc,0.28013392857142855,microsoft-phi-1_5
b4bqa,acc_stderr,0.010611112414051155,microsoft-phi-1_5
b4bqa,acc_norm,0.28013392857142855,microsoft-phi-1_5
b4bqa,acc_norm_stderr,0.010611112414051155,microsoft-phi-1_5
medmcqa_b2g,acc,0.3045977011494253,microsoft-phi-1_5
medmcqa_b2g,acc_stderr,0.024706807658616194,microsoft-phi-1_5
medmcqa_b2g,acc_norm,0.3045977011494253,microsoft-phi-1_5
medmcqa_b2g,acc_norm_stderr,0.024706807658616194,microsoft-phi-1_5
medmcqa_g2b,acc,0.3160919540229885,microsoft-phi-1_5
medmcqa_g2b,acc_stderr,0.024959784982131285,microsoft-phi-1_5
medmcqa_g2b,acc_norm,0.3160919540229885,microsoft-phi-1_5
medmcqa_g2b,acc_norm_stderr,0.024959784982131285,microsoft-phi-1_5
medmcqa_orig_filtered,acc,0.3045977011494253,microsoft-phi-1_5
medmcqa_orig_filtered,acc_stderr,0.024706807658616183,microsoft-phi-1_5
medmcqa_orig_filtered,acc_norm,0.3045977011494253,microsoft-phi-1_5
medmcqa_orig_filtered,acc_norm_stderr,0.024706807658616183,microsoft-phi-1_5
medqa_4options_b2g,acc,0.3356009070294785,microsoft-phi-1_5
medqa_4options_b2g,acc_stderr,0.022511256690742998,microsoft-phi-1_5
medqa_4options_b2g,acc_norm,0.3356009070294785,microsoft-phi-1_5
medqa_4options_b2g,acc_norm_stderr,0.022511256690742998,microsoft-phi-1_5
medqa_4options_g2b,acc,0.3378684807256236,microsoft-phi-1_5
medqa_4options_g2b,acc_stderr,0.02254860258005234,microsoft-phi-1_5
medqa_4options_g2b,acc_norm,0.3378684807256236,microsoft-phi-1_5
medqa_4options_g2b,acc_norm_stderr,0.02254860258005234,microsoft-phi-1_5
medqa_4options_orig_filtered,acc,0.3356009070294785,microsoft-phi-1_5
medqa_4options_orig_filtered,acc_stderr,0.022511256690742977,microsoft-phi-1_5
medqa_4options_orig_filtered,acc_norm,0.3356009070294785,microsoft-phi-1_5
medqa_4options_orig_filtered,acc_norm_stderr,0.022511256690742977,microsoft-phi-1_5
b4b,acc,0.30512142341909115,microsoft-phi-1_5
b4b,acc_stderr,0.028513218063137048,microsoft-phi-1_5
b4b,acc_norm,0.30512142341909115,microsoft-phi-1_5
b4b,acc_norm_stderr,0.028513218063137048,microsoft-phi-1_5
b4bqa,acc,0.28013392857142855,microsoft-phi-1_5
b4bqa,acc_stderr,0.010611112414051155,microsoft-phi-1_5
b4bqa,acc_norm,0.28013392857142855,microsoft-phi-1_5
b4bqa,acc_norm_stderr,0.010611112414051155,microsoft-phi-1_5
medmcqa_b2g,acc,0.3045977011494253,microsoft-phi-1_5
medmcqa_b2g,acc_stderr,0.024706807658616194,microsoft-phi-1_5
medmcqa_b2g,acc_norm,0.3045977011494253,microsoft-phi-1_5
medmcqa_b2g,acc_norm_stderr,0.024706807658616194,microsoft-phi-1_5
medmcqa_g2b,acc,0.3160919540229885,microsoft-phi-1_5
medmcqa_g2b,acc_stderr,0.024959784982131285,microsoft-phi-1_5
medmcqa_g2b,acc_norm,0.3160919540229885,microsoft-phi-1_5
medmcqa_g2b,acc_norm_stderr,0.024959784982131285,microsoft-phi-1_5
medmcqa_orig_filtered,acc,0.3045977011494253,microsoft-phi-1_5
medmcqa_orig_filtered,acc_stderr,0.024706807658616183,microsoft-phi-1_5
medmcqa_orig_filtered,acc_norm,0.3045977011494253,microsoft-phi-1_5
medmcqa_orig_filtered,acc_norm_stderr,0.024706807658616183,microsoft-phi-1_5
medqa_4options_b2g,acc,0.3356009070294785,microsoft-phi-1_5
medqa_4options_b2g,acc_stderr,0.022511256690742998,microsoft-phi-1_5
medqa_4options_b2g,acc_norm,0.3356009070294785,microsoft-phi-1_5
medqa_4options_b2g,acc_norm_stderr,0.022511256690742998,microsoft-phi-1_5
medqa_4options_g2b,acc,0.3378684807256236,microsoft-phi-1_5
medqa_4options_g2b,acc_stderr,0.02254860258005234,microsoft-phi-1_5
medqa_4options_g2b,acc_norm,0.3378684807256236,microsoft-phi-1_5
medqa_4options_g2b,acc_norm_stderr,0.02254860258005234,microsoft-phi-1_5
medqa_4options_orig_filtered,acc,0.3356009070294785,microsoft-phi-1_5
medqa_4options_orig_filtered,acc_stderr,0.022511256690742977,microsoft-phi-1_5
medqa_4options_orig_filtered,acc_norm,0.3356009070294785,microsoft-phi-1_5
medqa_4options_orig_filtered,acc_norm_stderr,0.022511256690742977,microsoft-phi-1_5
b4b,acc,0.44193315700889635,microsoft-phi-2
b4b,acc_stderr,0.03347622701222427,microsoft-phi-2
b4b,acc_norm,0.44193315700889635,microsoft-phi-2
b4b,acc_norm_stderr,0.03347622701222427,microsoft-phi-2
b4bqa,acc,0.47488839285714285,microsoft-phi-2
b4bqa,acc_stderr,0.01179977682900124,microsoft-phi-2
b4bqa,acc_norm,0.47488839285714285,microsoft-phi-2
