Dataset,Model,generic_to_brand,none
b4b,c4ai-aya-23-35B,0.4822340813720124,0.5196588213829594
b4b,c4ai-r-plus,0.5287584382411968,0.6090585659551176
b4b,llama-2-70B,0.4931125706987776,0.5366265280058383
b4b,llama-2-7B,0.34149790184272943,0.3574849480021894
b4b,llama-3-70B,0.6970899470899471,0.7664659733625251
b4b,llama-3-8B,0.5395000912242292,0.6002098157270571
b4b,mistral-7B,0.484765553731071,0.5503557744937055
b4b,mixtral-8x7B,0.5775634008392629,0.6368819558474731
b4b,phi-1,0.22915526363802224,0.23380769932494072
b4b,phi-1_5,0.33264915161466885,0.32557927385513596
b4b,phi-2,0.3972130997993067,0.43078361612844374
b4b,phi-3-medium,0.5689199051268017,0.6543970078452837
b4b,qwen1.5-72B,0.7281289910600255,0.766351943076081
b4b,qwen1.5-7B,0.5443805874840357,0.612502280605729
medmcqa,c4ai-aya-23-35B,0.48563218390804597,0.5287356321839081
medmcqa,c4ai-r-plus,0.49137931034482757,0.6149425287356322
medmcqa,llama-2-70B,0.45977011494252873,0.5229885057471264
medmcqa,llama-2-7B,0.3390804597701149,0.34195402298850575
medmcqa,llama-3-70B,0.6666666666666666,0.7816091954022989
medmcqa,llama-3-8B,0.5287356321839081,0.5919540229885057
medmcqa,mistral-7B,0.4827586206896552,0.5689655172413793
medmcqa,mixtral-8x7B,0.5545977011494253,0.6494252873563219
medmcqa,phi-1,0.2413793103448276,0.25862068965517243
medmcqa,phi-1_5,0.3160919540229885,0.3045977011494253
medmcqa,phi-2,0.3764367816091954,0.4224137931034483
medmcqa,phi-3-medium,0.603448275862069,0.7241379310344828
medmcqa,qwen1.5-72B,0.7155172413793104,0.7787356321839081
medmcqa,qwen1.5-7B,0.5517241379310345,0.6350574712643678
medqa_4options,c4ai-aya-23-35B,0.47883597883597884,0.5105820105820106
medqa_4options,c4ai-r-plus,0.5661375661375662,0.6031746031746031
medqa_4options,llama-2-70B,0.5264550264550265,0.5502645502645502
medqa_4options,llama-2-7B,0.3439153439153439,0.373015873015873
medqa_4options,llama-3-70B,0.7275132275132276,0.7513227513227513
medqa_4options,llama-3-8B,0.5502645502645502,0.6084656084656085
medqa_4options,mistral-7B,0.48677248677248675,0.5317460317460317
medqa_4options,mixtral-8x7B,0.6005291005291006,0.6243386243386243
medqa_4options,phi-1,0.21693121693121692,0.20899470899470898
medqa_4options,phi-1_5,0.3492063492063492,0.34656084656084657
medqa_4options,phi-2,0.41798941798941797,0.43915343915343913
medqa_4options,phi-3-medium,0.5343915343915344,0.5846560846560847
medqa_4options,qwen1.5-72B,0.7407407407407407,0.753968253968254
medqa_4options,qwen1.5-7B,0.5370370370370371,0.58994708994709
