Dataset,Metric,Value,Model,Direction
b4b,acc,0.2117755856966707,microsoft-phi-1,none
b4b,acc_stderr,0.0245708634894096,microsoft-phi-1,none
b4b,acc_norm,0.2117755856966707,microsoft-phi-1,none
b4b,acc_norm_stderr,0.0245708634894096,microsoft-phi-1,none
b4bqa,acc,0.1964285714285714,microsoft-phi-1,none
b4bqa,acc_stderr,0.0093878637859167,microsoft-phi-1,none
b4bqa,acc_norm,0.1964285714285714,microsoft-phi-1,none
b4bqa,acc_norm_stderr,0.0093878637859167,microsoft-phi-1,none
medmcqa,acc,0.2413793103448276,microsoft-phi-1,generic_to_brand
medmcqa,acc_stderr,0.0229719374525437,microsoft-phi-1,generic_to_brand
medmcqa,acc_norm,0.2413793103448276,microsoft-phi-1,generic_to_brand
medmcqa,acc_norm_stderr,0.0229719374525437,microsoft-phi-1,generic_to_brand
medmcqa,acc,0.2586206896551724,microsoft-phi-1,none
medmcqa,acc_stderr,0.0235064543553796,microsoft-phi-1,none
medmcqa,acc_norm,0.2586206896551724,microsoft-phi-1,none
medmcqa,acc_norm_stderr,0.0235064543553796,microsoft-phi-1,none
medqa_4options,acc,0.2169312169312169,microsoft-phi-1,generic_to_brand
medqa_4options,acc_stderr,0.021227082449445,microsoft-phi-1,generic_to_brand
medqa_4options,acc_norm,0.2169312169312169,microsoft-phi-1,generic_to_brand
medqa_4options,acc_norm_stderr,0.021227082449445,microsoft-phi-1,generic_to_brand
medqa_4options,acc,0.2089947089947089,microsoft-phi-1,none
medqa_4options,acc_stderr,0.0209404815653348,microsoft-phi-1,none
medqa_4options,acc_norm,0.2089947089947089,microsoft-phi-1,none
medqa_4options,acc_norm_stderr,0.0209404815653348,microsoft-phi-1,none
b4b,acc,0.2117755856966707,microsoft-phi-1,none
b4b,acc_stderr,0.0245708634894096,microsoft-phi-1,none
b4b,acc_norm,0.2117755856966707,microsoft-phi-1,none
b4b,acc_norm_stderr,0.0245708634894096,microsoft-phi-1,none
b4bqa,acc,0.1964285714285714,microsoft-phi-1,none
b4bqa,acc_stderr,0.0093878637859167,microsoft-phi-1,none
b4bqa,acc_norm,0.1964285714285714,microsoft-phi-1,none
b4bqa,acc_norm_stderr,0.0093878637859167,microsoft-phi-1,none
medmcqa,acc,0.2413793103448276,microsoft-phi-1,generic_to_brand
